Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases per 1M population,Deaths per 1M population,Total Tests,Tests per 1M population,Population
Afghanistan,131586,5561.0,78521,47504,3305,140.0,647029.0,16250.0,39816257
Armenia,226135,4540.0,217490,4105,76168,1529.0,1224512.0,412449.0,2968881
Azerbaijan,336788,4980.0,330606,1202,32915,487.0,3821726.0,373505.0,10232056
Bahrain,266919,1371.0,264125,1423,151549,778.0,5137699.0,2917031.0,1761277
Bangladesh,989219,15792.0,856346,117081,5946,95.0,6866682.0,41277.0,166356515
Bhutan,2252,1.0,1930,321,2886,1.0,798573.0,1023498.0,780239
Brunei,266,3.0,255,8,602,7.0,143218.0,324216.0,441736
Cambodia,59045,855.0,50917,7273,3483,50.0,1558086.0,91902.0,16953842
China,91989,4636.0,86902,451,64,3.0,160000000.0,111163.0,1439323776
Cyprus,81581,380.0,73064,8137,67073,312.0,8197456.0,6739694.0,1216295
Georgia,374836,5421.0,357804,11611,94148,1362.0,6050255.0,1519643.0,3981367
Hong Kong,11950,212.0,11648,90,1581,28.0,20066916.0,2654773.0,7558808
India,30752950,405967.0,29888284,458699,22064,291.0,427016605.0,306371.0,1393790539
Indonesia,2455912,64631.0,2023548,367733,8883,234.0,21423547.0,77492.0,276462011
Iran,3327526,85397.0,2981019,261110,39108,1004.0,23967488.0,281690.0,85084543
Iraq,1406289,17444.0,1287903,100942,34186,424.0,12088184.0,293854.0,41136639
Israel,845123,6434.0,834998,3691,90620,690.0,15418324.0,1653262.0,9326000
Japan,811712,14897.0,780011,16804,6438,118.0,16846353.0,133614.0,126081982
Jordan,755480,9812.0,738873,6795,73304,952.0,8030848.0,779236.0,10306054
Kazakhstan,448000,4544.0,408063,35393,23573,239.0,11575012.0,609057.0,19004802
Kuwait,370932,2071.0,350471,18390,85573,478.0,3093962.0,713772.0,4334667
Kyrgyzstan,137058,2083.0,116358,18617,20662,314.0,1372432.0,206898.0,6633385
Laos,2537,3.0,2104,430,344,0.4,305013.0,41314.0,7382711
Lebanon,546766,7869.0,533932,4965,80474,1158.0,4731376.0,696375.0,6794295
Macao,55,,53,2,84,,4580.0,6957.0,658321
Malaysia,817838,5980.0,731193,80665,24944,182.0,15228292.0,464460.0,32787057
Maldives,74848,213.0,71758,2877,136038,387.0,1051986.0,1912010.0,550199
Mongolia,134270,660.0,96513,37097,40299,198.0,3343725.0,1003564.0,3331849
Myanmar,180055,3621.0,142309,34125,3287,66.0,2825822.0,51584.0,54780696
Nepal,651380,9320.0,615613,26447,21955,314.0,3396753.0,114491.0,29668205
Oman,281688,3371.0,250564,27753,53777,644.0,1550000.0,295911.0,5238056
Pakistan,969476,22520.0,911383,35573,4304,100.0,14960221.0,66419.0,225239919
Palestine,314869,3577.0,309251,2041,60302,685.0,1917168.0,367168.0,5221495
Philippines,1461455,25720.0,1383833,51902,13159,232.0,15364993.0,138346.0,111061804
Qatar,223031,598.0,220904,1529,79433,213.0,2207701.0,786273.0,2807805
South Korea,165344,2036.0,152498,10810,3222,40.0,10844217.0,211330.0,51314106
Saudi Arabia,497773,7933.0,478127,11713,14076,224.0,22709413.0,642162.0,35363991
Singapore,62678,36.0,62363,279,10629,6.0,14116339.0,2393770.0,5897115
Sri Lanka,269946,3391.0,239584,26971,12553,158.0,4056906.0,188653.0,21504594
Syria,25753,1895.0,21872,1986,1436,106.0,103566.0,5776.0,17931015
Taiwan,15185,730.0,12838,1617,636,31.0,2811391.0,117825.0,23860654
Tajikistan,13719,97.0,13461,161,1406,10.0,,,9754608
Thailand,317506,2534.0,240077,74895,4537,36.0,8129670.0,116174.0,69978234
Timor-Leste,9657,25.0,8728,904,7186,19.0,94367.0,70219.0,1343901
Turkey,5465094,50096.0,5333759,81239,64098,588.0,62569538.0,733859.0,85261007
UAE,645653,1849.0,623826,19978,64489,185.0,59925376.0,5985500.0,10011758
Uzbekistan,115011,764.0,110377,3870,3387,22.0,1377915.0,40573.0,33961507
Vietnam,24810,104.0,8950,15756,253,1.0,8434266.0,85864.0,98228672
Yemen,6936,1365.0,4119,1452,227,45.0,121339.0,3979.0,30491342
